adoptType,createTime,dataInfoOperator,dataInfoState,dataInfoTime,entryWay,id,infoSource,infoType,modifyTime,provinceId,pubDate,pubDateStr,sourceUrl,summary,title
1,1582167379000,,0,1582167379000,1,5449,人民日报,1,1582167379000,1,1582167016000,12分钟前,http://m.weibo.cn/2803301701/4473995094751309,"据日本广播协会电视台20日报道，2名在“钻石公主”号邮轮上感染冠肺炎的患者死亡。这首次出现在“钻石公主”号邮轮感染新冠肺炎后死亡的病例。截至目前，日本国内新冠肺炎死亡病例增至3例。
",钻石公主号2名新冠肺炎感染者死亡
1,1582162397000,,0,1582162397000,1,5424,甘肃卫健委,1,1582162397000,62,甘肃省,1582120530000,13小时前,http://wsjk.gansu.gov.cn/single/11218/84273.html,"2月18日20时至2月19日20时，甘肃省无新增新型冠状病毒肺炎确诊病例。新增出院3例。截至2月19日20时，甘肃累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院65例，累计死亡病例2例。目前，累计追踪到密切接触者4082人，已解除医学观察3520人，其余562人正在接受医学观察。
 
					
				",甘肃无新增确诊病例，累计91例
1,1582117337000,,0,1582117337000,1,5347,天津卫健委,1,1582117337000,12,天津市,1582117337000,14小时前,http://wsjk.tj.gov.cn/art/2020/2/19/art_87_71195.html,2月19日6时至2月19日18时，天津市新增新冠肺炎确诊病例2例，累计确诊病例130例。 第129例病例，男，90岁，现居住于天津市宝坻区宝平街，无武汉旅行和工作史，系我市第72例、第85例（曾到宝坻百货大楼购物）、第86例确诊病例密切接触者。,天津市新增2例确诊
1,1582111582000,,0,1582111582000,1,5337,人民日报,1,1582111582000,53,云南省,1582111318000,15小时前,http://m.weibo.cn/2803301701/4473761480440510,记者19日从云南省卫生健康委了解到，当日0时至12时，该省出现首例新冠肺炎死亡病例。死亡患者为72岁男性，云南玉溪人。,云南首例新冠肺炎死亡病例
1,1582100954000,,0,1582100954000,1,5318,北京卫健委,1,1582100954000,11,北京市,1582100954000,18小时前,http://wjw.beijing.gov.cn/xwzx_20031/xwfb/202002/t20200219_1662260.html,北京市又有23例新冠肺炎患者，经过医护人员精心治疗后，符合出院标准，于2月18日分别从地坛医院、佑安医院、解放军总医院第五医学中心、海淀医院、房山区结核病防治所、丰台中西医结合医院，潞河医院牛堡屯院区、顺义区医院出院。23名患者中，有10名男性，13名女性；年龄最小的2岁，最大的75岁。,北京市新增23例治愈
1,1582100298000,,0,1582100298000,1,5316,人民网,2,1582100298000,100,全国,1582099832000,18小时前,http://m.weibo.cn/2286908003/4473713305157941,19日起，“钻石公主”号乘客开始分批下船。在中央政府的统筹下，经中国驻日本大使馆、外交部驻香港公署、香港特别行政区政府有关部门紧密协调，特区政府将派包机撤离中国乘客前往香港。首架包机将于2月20日凌晨1：45从东京羽田机场起飞。,钻石公主号下船中国同胞乘包机返港
1,1582097930000,,0,1582097930000,1,5300,云南卫健委,2,1582097930000,53,云南省,1582097930000,19小时前,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158209708076694345,2月19日0时至12时，云南省报告新型冠状病毒肺炎新增确诊病例为零，新增治愈出院病例3例（昆明市2例、保山市1例），新增死亡病例1例（玉溪市）。全省现有确诊病例112例，均在定点医院接受隔离治疗，其中危重1例，重症10例。现有疑似病例55例。截至2月19日12时，全省累计确诊病例173例（已治愈出院60例）。其中：昆明市53例（治愈出院15例）昭通市25例（治愈出院2例）西双版纳州15例（治愈出院4例）玉溪市14例（治愈出院3例，死亡1例）曲靖市13例（治愈出院6例）大理州13例（治愈出院10例）保山市9例（治愈出院3例）红河州8例（治愈出院3例）丽江市7例（治愈出院7例）德宏州5例（治愈出院2例）楚雄州4例（治愈出院1例）普洱市4例（治愈出院3例）文山州2例（治愈出院0例）临沧市1例（治愈出院1例） ,云南新增为0死亡1例
1,1582096611000,,0,1582096611000,1,5297,山东卫健委,2,1582096611000,37,山东省,1582096611000,19小时前,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200219_2580805.html,"2020年2月19日0-12时，山东省无新增新型冠状病毒肺炎确诊病例，累计确诊病例544例(含重症病例13例，危重症病例12例，治愈出院225例，死亡病例3例);新增疑似病例2例，现有疑似病例36例。截至目前，追踪到密切接触者16126人，已解除医学观察13403人，诊断为疑似或确诊病例291例，尚有2432人正在接受医学观察。详见下表(单位:例):备注:根据要求，按病例确诊时医院所在县区统计。
         
            
              
   
        
            
            
            
				
					
						 

						
					
			
          ",山东省无新增，累计确诊病例544例
1,1582092261000,,0,1582092261000,1,5284,人民日报,2,1582092261000,100,全国,1582092059000,21小时前,http://m.weibo.cn/2803301701/4473680703011856,"【#第六版诊疗方案公布#：#治愈出院后第2和第4周到医院随访复诊#】《新型冠状病毒肺炎诊疗方案（试行第六版）》公布，其中：①经呼吸道飞沫和密切接触传播是主要的传播途径；②在相对封闭的环境中长时间暴露于高浓度气溶胶情况下中存在经气溶胶传播的可能；③#增加康复者血浆治疗#，建议适用于病情进展较快、重型和危重型患者；④增加“出院后注意事项”。详戳↓↓
",第六版诊疗方案公布
1,1582084095000,,0,1582084095000,1,5270,人民网,2,1582084095000,42,湖北省,1582083838000,23小时前,http://m.weibo.cn/2286908003/4473646225213739,湖北省推迟原定于3月份进行的以下报名及考试组织工作：1.2月20日至3月4日高等教育自学考试2020年4月份考试的报名;2.3月14日至15日高等教育自学考试计算机化考试；3.3月19日至22日湖北省英语口语等级（三级）考试；4.3月21日湖北省成人学士学位外语考试；新的报名、考试时间将根据情况另行通知。教育部考试中心已就3月份有关全国性考试作出推迟安排，湖北省遵照执行。,湖北3月部分考试推迟
1,1582079789000,,0,1582079789000,1,5261,江西卫健委,2,1582079789000,36,江西省,1582079789000,1天前,http://hc.jiangxi.gov.cn/doc/2020/02/19/139133.shtml,"　2月18日，江西省疫情防控应急指挥部综合组组长、省卫生健康委副主任龚建平在省新冠肺炎疫情防控工作新闻发布会（第十一场）上，通报了江西省最新疫情防治情况。
",江西省疫情防控从“胶着对垒”转向“持续向好”            
1,1582079659000,,0,1582079659000,1,5259,人民日报,2,1582079659000,100,全国,1582079390000,1天前,http://m.weibo.cn/2803301701/4473627565411919,"针对当前个别地方在疫情防控工作中存在的简单粗暴等问题，18日，国务委员、公安部党委书记、部长赵克志对公安民警依法开展疫情防控工作提出明确要求。他强调，要坚持严格规范公正文明执法，严禁过度执法、粗暴执法。
",公安部要求严禁过度执法粗暴执法
1,1582075898000,,0,1582075898000,1,5246,天津卫健委,1,1582075898000,12,天津市,1582075897000,1天前,http://wsjk.tj.gov.cn/art/2020/2/19/art_87_71167.html,2020年2月18日0－24时，天津市报告新型冠状病毒肺炎新增确诊病例3例，新增危重型病例0例，新增重型病例0例，新增死亡病例0例，新增出院病例2例。其中：新增确诊病例中宝坻区3例。,天津市新增确诊病例3例，新增出院病例2例
1,1582074451000,,0,1582074451000,1,5239,陕西卫健委,1,1582074451000,61,陕西省,1582074451000,1天前,http://sxwjw.shaanxi.gov.cn/art/2020/2/19/art_9_68128.html,截至2月19日9时，陕西新增2例新冠肺炎确诊病例，新增疑似病例19例。新增确诊病例中，西安市1例、汉中市1例。陕西累计报告新冠肺炎确诊病例242例（89例治愈出院）。,陕西新增2例新冠肺炎，确诊病例累计242例
1,1582074726000,,0,1582074726000,1,5242,浙江卫健委,1,1582074726000,33,浙江省,1582074240000,1天前,https://www.zjwjw.gov.cn/art/2020/2/19/art_1202101_41943016.html,2020年2月18日0-24时，浙江省报告新型冠状病毒肺炎新增确诊病例1例，新增出院病例30例。截至2月18日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1173例，现有重症病例63例（其中危重22例），累计出院544例。,浙江省新增确诊病例1例，新增出院病例30例
1,1582074135000,,0,1582074135000,1,5237,上海卫健委,1,1582074135000,31,上海市,1582074134000,1天前,http://wsjkw.sh.gov.cn/xwfb/20200219/645a012cb78a4c109ace96293ecd0e2e.html,"2020年2月18日12—24时，上海市排除新型冠状病毒肺炎疑似病例26例；无新增确诊病例。截至2月18日24时，上海市已累计排除疑似病例1880例，发现确诊病例333例。
                        ",上海无新增确诊病例
1,1582074114000,,0,1582074114000,1,5234,江西卫健委,1,1582074114000,14,山西省,1582074114000,1天前,http://hc.jiangxi.gov.cn/doc/2020/02/19/139117.shtml,2020年2月18日0-24时，江西省报告新型冠状病毒肺炎新增确诊病例1例，新增治愈出院病例52例。截至2月18日24时，江西省现有住院确诊病例571例。累计报告新型冠状病毒肺炎确诊病例934例，其中治愈出院病例362例，死亡病例1例。,江西省报新增确诊病例1例，新增治愈52例  
1,1582074452000,,0,1582074452000,1,5241,宁夏卫健委,1,1582074452000,64,宁夏回族自治区,1582074060000,1天前,http://wsjkw.nx.gov.cn/info/1262/14472.htm,2020年2月18日0-24时，全区新增新型冠状病毒肺炎确诊病例1例（同心县1例），新增出院病例7例。截至2月18日24时，全区现有确诊病例29例，累计出院病例42例；现有疑似病例25例（较17日减少2例）。,宁夏新增确诊病例1例，新增出院病例7例
1,1582074747000,,0,1582074747000,1,5243,广东卫健委,1,1582074747000,44,广东省,1582074011000,1天前,http://wsjkw.gd.gov.cn/xxgzbdfk/yqtb/content/post_2900972.html,截至2月18日24时，全省累计报告新冠肺炎确诊病例1331例。18日当天全省新增确诊病例3例，为惠州市3例。新增出院41例，累计出院571例。新增出院病例中，8例为重型病例治愈出院，其他为普通型或者轻型治愈出院。新增死亡病例1例，为珠海市1例，累计死亡5例。另有疑似病例1例。有2543 名密切接触者正在接受医学观察。,广东新增确诊病例3例，新增出院41例
1,1582074451000,,0,1582074451000,1,5240,内蒙古卫健委,1,1582074451000,15,内蒙古自治区,1582073928000,1天前,http://wjw.nmg.gov.cn/doc/2020/02/19/292632.shtml,2020年2月18日9时至19日8时，内蒙古自治区报告新增新冠肺炎确诊病例2例，新增疑似病例3例，新增出院病例1例，排除疑似病例1例。,内蒙古自治区新增确诊病例2例，新增出院病例1例
1,1582073828000,,0,1582073828000,1,5231,北京卫健委,1,1582073828000,11,北京市,1582073828000,1天前,http://wjw.beijing.gov.cn/xwzx_20031/xwfb/202002/t20200219_1657553.html,2月18日0时至24时，本市新增6例新冠肺炎确诊病例，本市累计确诊病例393例。其中出院145例，死亡4例。, 北京市新增6例新冠肺炎确诊病例，23例治愈出院 
1,1582073828000,,0,1582073828000,1,5232,江苏卫健委,1,1582073828000,32,江苏省,1582073471000,1天前,http://wjw.jiangsu.gov.cn/art/2020/2/19/art_7290_8976979.html,2020年2月18日0-24时，江苏省报告新型冠状病毒肺炎新增确诊病例2例，均为普通型病例。新增出院病例33例。,江苏新增2例新型冠状病毒肺炎确诊病例
1,1582073817000,,0,1582073817000,1,5230,安徽卫健委,1,1582073817000,34,安徽省,1582073460000,1天前,http://wjw.ah.gov.cn/news_details_55120.html,2020年2月18日0-24时，安徽省报告新增确诊病例4例，无新增疑似病例，新增治愈出院病例68例。累计报告确诊病例986例，累计治愈出院病例361例，累计死亡病例6例，累计医学观察密切接触者24600人，尚在医学观察3602人。,安徽省新增确诊4例，新增治愈出院病例68例
1,1582073828000,,0,1582073828000,1,5233,新疆卫健委,1,1582073828000,65,新疆维吾尔自治区,1582073400000,1天前,http://www.xjhfpc.gov.cn/info/2070/18750.htm,2020年2月18日0-24时，新疆（含兵团）报告新型冠状病毒肺炎新增确诊病例0例，新增死亡病例0例，新增治愈出院病例2例。截至2月18日24时，新疆（含兵团）累计报告新型冠状病毒肺炎确诊病例76例（新疆维吾尔自治区52例、新疆生产建设兵团24例），累计死亡病例1例，累计治愈出院病例14例。,新疆（含兵团）新增确诊0例，新增死亡0例，新增治愈出2例
1,1582074114000,,0,1582074114000,1,5235,辽宁卫健委,1,1582074114000,21,辽宁省,1582073400000,1天前,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200219_3744182.html,2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。     ,辽宁省无新增确诊病例，新增12例治愈出院病例
1,1582074114000,,0,1582074114000,1,5236,贵州卫健委,1,1582074114000,52,贵州省,1582073234000,1天前,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200219_50042146.html,"2020年2月18日12—24时，全省新型冠状病毒肺炎无新增确诊病例,新增治愈出院病例3例（遵义市3例）。截至2月18日24时，全省累计报告新型冠状病毒肺炎病例146例，治愈出院69例，轻症及普通型67例，重症4例，危重症4例，死亡2例。
         ","贵州省无新增确诊病例,新增治愈出院病例3例"
1,1582072616000,,0,1582072616000,1,5227,四川卫健委,1,1582072616000,51,四川省,1582072616000,1天前,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/2020/2/19/6634b956576942cc91356ceec1a1f692.shtml,2月18日0-24时，我省新型冠状病毒肺炎新增确诊病例6例，新增治愈出院病例14例，新增疑似病例40例，无新增死亡病例。截至2月19日0时，我省累计报告新型冠状病毒肺炎确诊病例514例，涉及21个市（州）。现有疫情县（市、区）98个（增加龙马潭区1个，减少九寨沟县、九龙县、新龙县、冕宁县等4个）。,四川新增确诊病例6例，新增治愈14例
