body,id,mainSummary,rumorType,score,sourceUrl,summary,title
"钟南山院士团队公开辟谣：

「盐水漱口有利于清洁口腔和咽喉，对于咽喉炎有帮助。但是新型冠状病毒侵犯的部位在呼吸道，漱口没有办法清洁呼吸道。其次，目前尚无任何研究结果提示盐水对新型冠状病毒有杀灭作用。」",2,钟南山院士团队辟谣：漱口没有办法清洁呼吸道,0,159,,,盐水漱口能预防感染新冠病毒？
网传消息称武汉病毒所毕业生黄燕玲是所谓最早感染新冠病毒的「零号病人」。中国科学院武汉病毒研究所 16 日发声明：黄燕玲同学于 2015 年在我所毕业获得硕士学位，在学期间的研究内容为噬菌体裂解酶的功能及抗菌广谱性，毕业后一直在其他省份工作生活，未曾回过武汉，未曾被 2019 新型冠状病毒感染，身体健康。,154,中国科学院武汉病毒研究所声明：黄燕玲未曾被 2019 新型冠状病毒感染，身体健康,0,158,,,零号病人是武汉病毒研究所研究生？
"北京地坛医院感染病急诊主任王凌航表示：关于气候条件和呼吸道传染病流行之间，实际上没有必然联系，下雪和呼吸道疾病的消长之间没有确定的因果联系，不用把下雪和疫情联系起来，也不用担心病毒会通过雪来传染。

不过还是要提醒大家做好防护措施。",101,北京地坛医院感染病急诊主任王凌航：不用担心新冠病毒会通过雪来传染,0,157,,,千万别出门玩雪，会感染新冠病毒？
青海、南宁、丽江等各城市版本的均为编造。另外，此次新型冠状病毒来源是非法销售的野生动物，正规渠道售卖的各类肉制品仍可彻底煮熟后食用。,84,丁香医生团队查证：各城市版本的均为编造，正规渠道售卖的仍可放心吃,0,156,,,别吃鱼，某地有 121 个鱼塘感染？
国家卫健委印发的《新型冠状病毒感染的肺炎诊疗方案（试行第五版）》中提到，新冠肺炎的主要表现是发热、乏力、干咳。少数患者伴有鼻塞、流涕、咽痛和腹泻等症状。所以，根据是否流鼻涕和咳痰就果断判定不是新冠肺炎，是不准确的。想知道如何区分新冠肺炎和感冒，去丁香医生公众号回复「区分」即可查看。,114,丁香医生团队辟谣：根据是否流鼻涕和咳痰就果断判定不是新冠肺炎，是不准确的,0,155,,,出现流涕和咳痰就不是新冠肺炎？
2 月 5 日，贵州六枝特区民警接到举报称，有人在微信群造谣称老母猪下崽后突然开口说话，称天亮前吃 9 个鸡蛋能防肺炎疫情。谣言迅速传播，引起市民广泛议论。民警当天就将造谣女子朱某抓获，目前其已被警方处以行拘 10 日。丁香医生提醒，除此谣言外，还有「哑巴突然开口说话」「刚出生的婴儿会说话」等版本，信了你就输了。,118,丁香医生团队辟谣：系谣言，造谣女子已被行拘,0,154,,,某家的猪崽会说话，是瘟疫的前兆?
《中华人民共和国传染病防治法》规定：生产用于传染病防治的消毒产品的单位和生产用于传染病防治的消毒产品，应当经省级以上人民政府卫生行政部门审批。各地采用的「环保酵素」，均为民间自制，公开资料中产品未见任何相关证明。目前权威机构确认能有效灭活病毒的可靠产品只包括 75% 酒精、含氯消毒剂、乙醚等。,152,丁香医生团队辟谣：没有证据支持「环保酵素能消毒」，环保酵素存在安全隐患，且可能是违法产品,0,153,,,环保酵素可以消灭新冠病毒？
在普通家居、出行生活中，不必考虑衣物材质和静电问题对病毒吸附的影响，舒适为主。病毒通过飞沫传播，并不是单独在空气中，其可能在任何材质的衣物上停留，双手勿接触口鼻眼等、回家及时洗手、做好外套的消毒与吹风，比材质选择更重要。,78,丁香医生团队辟谣：从流感病毒的性质推测，病毒更喜欢光滑无孔的表面，在毛织品上留存时间更短,0,152,,,带毛领或绒线的外套容易吸附病毒？
2 月 8 日，以新型冠状病毒感染的肺炎诊疗方案（试行第五版）为指南，首期在江夏区第一人民医院开展了 3 名危重患者的新冠特免血浆治疗，目前连同后续医院治疗的危重病人超过了 10 人。临床反映，患者接受治疗 12 至 24 小时后，实验室检测主要炎症指标明显下降，淋巴细胞比例上升，血氧饱和度、病毒载量等重点指标全面向好，临床体征和症状明显好转。,150,中国生物：治疗性新冠特免血浆制品已投入临床，患者重点指标向好，临床体征和症状好转,1,152,,,康复者血液有可能治好新冠肺炎？
酒精的确能杀死病毒。但得是 75% 浓度的酒精消毒产品，而且只能用来体表消毒。喝进身体的高度酒，只会被吸收代谢，不会作用于病毒。,21,丁香医生团队辟谣：喝进去不会作用于病毒,0,151,,,喝高度酒能抵抗新冠病毒?
网传「武汉盘龙城一小区男子把口罩喷酒精戴，坐电梯时遇 84 消毒，瞬间晕倒死亡」，楚天都市报记者多方证实，系谣言。属地派出所表示，他们未接到或者处置过类似的警情。据悉，武汉市相关部门已联系上帖主核实情况，帖主表示系「道听途说」，已自行删帖。,146,楚天都市报记者从多方证实：该消息系谣言,0,148,,,口罩喷酒精遇 84 消毒瞬间死亡？
某公众号发表了一篇题为《吸烟者感染新冠病毒率远低于非烟民？钟南山首篇论文出炉》的文章，该文章截取钟南山团队 2 月 9 日发表的论文中的部分数据，得出「明显吸烟者感染率远低于非烟民」的结论，还称吸烟能够驱邪治病。北京市控烟协会已经与钟南山团队取得了联系，对方在回应北京市控烟协会时表示，根本不能同意这种说法，正在研究此事，随后将作出反应。,148,钟南山团队回复：不同意这种说法,0,147,,,烟民感染新冠病毒率远低于非烟民？
为了防止自己感染新冠病毒，应该经常用含酒精的免水洗洗手液或用肥皂水洗手。将手清洗干净后，用纸巾彻底擦干或用暖风干手器彻底烘干。,147,世界卫生组织辟谣：不能，干手器不能有效杀死新冠病毒。,0,146,,,干手器能在 30 秒内杀死新冠病毒？
有传闻某药方打粉和蛋清调匀，敷于双脚底涌泉穴。平躺 16 小时，期间不能坐，不能站。口含咬破大蒜一天一夜。可以考虑戴成人尿不湿。晚上开始敷，16 小时内可以不用吃饭。可抑制病毒 / 治疗肺炎。丁香医生再次强调，到目前为止，还没有专门用于预防和治疗新冠病毒的药物。别浪费钱折腾了，少出门，勤洗手，做好家居外出防护，才是最好的方法。,144,丁香医生团队辟谣：到目前为止，还没有专门用于预防和治疗新冠病毒的药物,0,145,,,把某些药物敷在脚底可以防病毒？
相比于哺乳动物，鱼类、鸟类和爬行类成为新冠肺炎中间宿主的可能性非常小。新冠病毒主要利用细胞表面受体 ACE2 感染哺乳动物，鸟类目前没有被检测出具备大量 ACE2 受体，被病毒侵染概率很低。,145,剑桥大学病毒学助理研究员韩越：相比哺乳类，鱼、鸟、爬行类成为新冠肺炎中间宿主的可能性很小,0,144,,,候鸟迁徙会携带传播新冠病毒？
世卫组织总干事谭德塞博士表示：「开发疫苗和疗法需要时间，与此同时，我们也不是束手无策。我们现在可以采用许多基本公共卫生干预措施预防感染。第一支疫苗可能在 18 个月后才能投入使用。所以，在筹划长远安排的同时，我们今天必须全力使用现有各种武器对付这一病毒。」,143,世卫组织总干事谭德塞博士：开发疫苗和疗法需要时间,1,143,,,新冠病毒的疫苗研制要 18 个月？
有肺炎的话，你会咳嗽、呼吸急促，甚至喘不过气，很容易就能认得出，必要时还有 CT 识别手段。就算毫无肺炎表现，只要有发热以及相关密切接触史，也得尽快就医，并不是没有肺炎就安全。假如你一切良好，看到这则谣言不由自主做几次深吸气检查也没关系，会稍稍刺激迷走神经，还可能让气道高敏的人忍不住咳几声，这并不会有明显危害，记得别连续深吸气「复查」就行了。,141,丁香医生团队辟谣：真没必要用这样的方式去检查有没有肺炎,0,142,,,深呼吸再憋十秒可测是否有肺炎？
有传言称「即便吸入了病毒，如果喉咙湿润的话，病毒大多会沿食道进入胃部，而不是沿呼吸道进入肺部。胃里有胃酸，能有效杀死病毒，所以要多喝水」其实新冠病毒通过侵染呼吸道黏膜上皮细胞，并在细胞中大量增殖完成侵染，多喝水并不能阻止细胞进入呼吸道。胃酸虽可杀死病毒，但不是全部病毒，新冠病毒存在侵染胃部细胞的可能性。水喝太多可能使体内电解质失衡，对肾脏等器官造成额外负担！,142,剑桥大学病毒学助理研究员韩越：没有研究显示频繁喝水能预防新冠病毒感染,0,141,,,保持喉咙湿润可以预防病毒？
太阳的照射温度达不到 56℃，且日照紫外线也达不到紫外线消毒灯的强度，不论从哪一个角度都不能达到杀灭病毒的要求。若要外出晒太阳，仍需戴好口罩，做好必要防护。,91,丁香医生团队辟谣：太阳的照射温度达不到 56℃，且日照紫外线也达不到紫外线消毒灯的强度,0,140,,,晒太阳可以杀灭新型冠状病毒？
经查证，钟南山院士并没有说过此话。相反，1 月 31 日，钟南山院士在接受北京卫视《养生堂》采访时提到：到现在我没有发现有很明显的后遗症，治愈的可能以后会大量增加。,139,丁香医生团队查证：钟南山院士没有说过此话,0,139,,,钟南山：新冠肺炎治愈也有后遗症？
9 日，湖北省召开第 19 场疫情防控工作新闻发布会，华中农业大学教授陈焕春介绍，「分析发现，新型冠状病毒属于 SARS 冠状病毒。」新京报记者刚刚向陈焕春核实到，该说法属于口误。他表示，应为「新型冠状病毒属于 SARS 相关冠状病毒」。这意味着「新冠」病毒与 SARS 冠状病毒相似。该结论是基于中科院武汉病毒所石正丽研究员的工作得出的。,136,华中农业大学教授陈焕春解释：完全属于口误,0,138,,,新冠病毒属于 SARS 病毒？
目前没有证据证明洋葱有预防新冠肺炎的功效。不过，炒菜吃还是很美味的，闻就算了吧，不嫌辣眼睛和鼻子吗。,140,丁香医生团队辟谣：无论是吃还是闻都不能预防新冠肺炎,0,137,,,洋葱可以预防新冠肺炎？
由国家卫健委高级别专家组组长钟南山领衔的「中国 2019 年新型冠状病毒感染的临床特征」研究，在预印本网站 medRxiv 上发表。钟南山等人对 1099 例（截至 1 月 29 日）新冠肺炎确诊患者的临床特征进行了回顾性研究。研究发现，新冠肺炎的中位潜伏期为 3.0 天，最长可达 24 天。丁香医生在此提醒，潜伏期长是个案，要重视，但无需恐慌。,138,丁香医生团队提醒：潜伏期长是个案，要重视，但无需恐慌。,1,135,,,新冠肺炎潜伏期最长 24 天？
蔬菜、肉、水果买回家后先用流水冲洗。蔬菜、肉类应烧熟吃，水果尽量削皮，处理生食和熟食的切菜板及刀具要分开。病毒在 56℃、30 分钟就能被杀死，炒菜经常能达到 100℃ 以上的高温，炒熟炒透后不用担心病毒。处理过后注意及时洗手。目前新型冠状病毒是否经粪-口途径（消化道）传播，虽尚待进一步明确，但通过将食物洗净煮熟，饭前便后洗手等方法可预防病毒经消化道传播。,137,中国疾病预防控制中心研究员冯录召：病毒通过飞沫、直接接触等方式污染到果蔬肉蛋的几率很低,0,134,,,吃果蔬和肉蛋会感染新冠病毒？
在口罩内部垫纸巾不能起到延长口罩寿命的效果，反而会让气体从纸巾旁边通过，影响气密性，导致口罩失效。一般来讲，一次性口罩不建议重复使用，N95 口罩在保存得当的情况下，可以考虑多次使用，但最好不要超过 5 次。,131,丁香医生团队辟谣：在口罩里垫纸巾不能延长口罩寿命，反而影响使用效果,0,133,,,口罩里垫一张纸巾，就能反复使用？
气溶胶颗粒通常>10微米，一般医用口罩就能阻挡。半径<0.1微米的气溶胶微粒，重量轻，主要在高空，会随风飘走，呼吸到的概率不大。气溶胶质点比表面能很大，又有电荷，病毒很容易被破坏，存活度不高。非医务人员在日常只有达到极高数量级的阈值，部分病毒才能由黏膜进入人体。由气溶胶形式悬停在衣物、皮肤的病毒，只有极微小的比例能通过接触传播。这样的病毒量不太会引发疾病。,135,丁香医生团队：暂不明确。要重视，但不必恐慌,2,132,,,新冠病毒可通过气溶胶传播？
近日，「钟南山公开中药预防汤剂」，引发网友热议，报道称此中药凉茶是预防新型冠状病毒肺炎的处方。广州医科大学校长回应，这是广医一附院个别医生开的中药预防方子，他给医护人员喝了以后感觉有所帮助，并不是外界所传说的重大发现。,134,广州医科大辟谣：只是个别医生开的方子,0,131,,,钟南山团队开中药凉茶处方?
"要减少悬浮的气溶胶的影响，适当的通风措施是必要的。但需要注意，气溶胶是有可能随空气流动的，由于气流方向不当，可导致污染气溶胶流向干净的区域。
如果有居家隔离者，必须单间隔离，或处在全屋出风的位置，公共区域或其它房间自然通风时必须关闭患者所在屋子门窗。
同时注意不要用风扇等高流速设备通风，以免引起湍流，让本已沉降的微粒重新悬浮。",133,丁香医生团队辟谣：要分情况，对于一般小区的居民，能开窗通风,0,130,,,空气里有气溶胶，绝不能开窗通风？
"不用太多担心，「核酸检验」是作为新型冠状病毒确诊标准，但「核酸检测阴性」并不是排除感染的依据。

对于还没确诊的患者，会被列为「疑似患者」。
疑似患者在后续诊治过程中，还会多次进行核酸检测和鉴别诊断，最终得到确诊结果。",132,丁香医生团队辟谣：「核酸检验」是作为新冠病毒确诊标准，但「核酸检测阴性」不是排除感染的依据,0,129,,,核酸检验频繁假阴性，有大量漏诊？
杀死新型冠状病毒至少需要 56℃，30 分钟，可用于物体表面消毒等。电吹风的温度即使能达到 56℃ 甚至更高，对着手和面部持续吹 30 分钟，也容易造成烫伤等伤害。还是好好洗手，做好清洁吧。,76,丁香医生团队辟谣：30 秒太短，真吹半小时容易受伤,0,128,,,电吹风对手和面部吹 30 秒能消毒？
《新型冠状病毒感染的肺炎诊疗方案（试行第五版）》指出，患者出院或解除隔离需同时满足以下三个条件：体温恢复正常3天以上、呼吸道症状明显好转；肺部影像学显示炎症明显吸收；连续两次呼吸道病原核酸检测阴性（采样时间间隔至少1天）。仅仅一次核酸检测阴性并不意味着康复，也就谈不上「复发」。,130,丁香医生团队：仅仅是核酸检测转阴，并不意味着康复,2,127,,,核酸检测转阴后，还有可能复发？
现金流通渠道复杂，确实会有很多细菌病毒等病原体，但并不是接触了就一定会感染，而是不洗手又揉眼睛、拿东西吃或摸伤口等。无论是否防范新型冠状病毒，都建议大家在使用现金后，注意洗手、正确洗手，避免脏手接触眼睛、口鼻。,62,丁香医生团队：无论何时，接触了现金都要洗手,2,124,,,不要收现金，会感染新冠病毒？
 2 月 6 日晚，针对互联网上流传的抗病毒药物瑞德西韦在武汉「显效」的传闻，正在武汉负责该药物临床试验的中日友好医院副院长曹彬教授向中国青年报 · 中国青年网记者表示：「临床研究今天才开始，怎么可能知道结果？」他强调，科学研究需要时间。,106,中日友好医院副院长曹彬教授：临床试验结果未出,2,123,,,瑞德西韦对治疗新冠肺炎有效？
许多人关注的重点在于「15 或 50 秒未戴口罩接触即感染」，认为患者感染的原因就是病毒在短时间内通过飞沫传播。然而，除飞沫传播外，也可能存在患者手接触确诊者沉淀在物体上的飞沫，导致后续接触传播的情况。根据患者的外出记录，我们并不能肯定地说，他们只接触了 15 或 50 秒的那名确诊患者就是唯一的传染源。大家日常注意与人沟通时戴口罩，保持距离，勤洗手即可。,122,丁香医生团队：莫恐慌，可能并非时间长短的问题,2,118,,,15 秒未戴口罩接触病患被感染？
有人说多喝水能促进口腔、鼻粘膜抗体分泌，从而预防病毒感染。呼吸道、肠道粘膜是有分泌性 IgA 等保护性抗体，作为机体固有免疫系统抵抗病原体入侵。但没有证据说多喝水能增加粘膜抗体产生。且抗体存在特异性，每种病毒有针对它的特定抗体。针对新冠病毒的抗体，得在感染新冠病毒后，免疫系统才会开始合成和分泌，多喝水并不能使免疫系统产生针对新冠病毒的抗体。,123,上海市公共卫生临床中心林逸骁医生：适当多喝水是有好处，但不能预防新冠病毒,0,117,,,多喝水多分泌粘液能防新冠病毒？
近期，网上流传「预防普通肺炎的疫苗能够防止新型冠状病毒感染」的说法。世界卫生组织回应 ：肺炎球菌疫苗和乙型流感嗜血杆菌疫苗等肺炎疫苗不能预防新型冠状病毒肺炎。新型冠状病毒不同于以往已发现的病毒，它需要自己的疫苗。研究人员正努力开发针对它的疫苗。,124,世界卫生组织辟谣 ：不能，肺炎球菌疫苗和乙型流感嗜血杆菌疫苗等肺炎疫苗不能预防新冠肺炎,0,115,,,普通肺炎的疫苗能预防新冠病毒？
"南京、温州、泸州等各城市版本的均为谣言。

即使添加的氯在国标许可的最上限，也可以直接喝，并不会对健康造成影响。",119,丁香医生团队辟谣：并无此事。即使添加的氯在国标许可的最上限，也不会对健康造成影响,0,114,,,自来水采用上限标准加氯消毒？
"天气变化会改变气温、湿度等自然条件，这些条件变化，确实会影响病毒的状态。

但根据过往的研究，有些病毒病毒能耐高温，有些病毒反而喜欢寒冷。

目前我们面临一种缺乏了解的新型冠状病毒，低温能否杀灭尚无定论，请勿轻信传言，不要因为下雪就放松警惕、频繁外出。",103,丁香医生团队：结论存疑，天气与病毒的关系较为复杂，针对新冠病毒尚无定论,2,113,,,下雪可以杀死病毒？
沐舒坦的主要成分是盐酸氨溴索，研究发现它可以阻碍病毒进入细胞内，有望用于新冠肺炎的治疗。但目前研究仅在基础阶段，是否真的有效，还需要进一步临床试验证实。,121,丁香医生团队：无充分证据表明沐舒坦能防止新冠肺炎,2,112,,,沐舒坦可以防止新冠肺炎？
"卡片中主要活性成分亚氯酸钠，在接触空气时释放的 ClO₂ 是可以消除病菌，但它不稳定，很容易就分解了，而且作为气体，移动的人暴露在流动的空气中，这张卡片的效果基本就没有。而且 ClO₂ 在动物体内，会降低动物甲状腺素的分泌量，还会增加溶血性贫血风险。 
卡片上还有对皮肤黏膜有强烈刺激性的成分，万一孩子拆开玩，不小心吃下、撒入眼睛或接触敏感部位，都会有危险。",117,丁香医生团队辟谣：一张卡片杀死新冠病毒？咋不上天呢！,0,111,,,病毒防护卡挂身上能防新冠病毒？
有一些有限的证据表明，经常用生理盐水清洗鼻子可以帮助人们更快地从普通感冒中恢复过来。然而，经常清洗鼻子并不能预防呼吸道感染。,116,WHO 辟谣：没有证据表明，经常用生理盐水冲洗鼻子可以防止感染新冠病毒,0,110,,,用生理盐水洗鼻子可预防新冠病毒？
"益生菌对人体的主要作用是改善肠道菌群。迄今为止的科学研究虽然很多，但基本上都是通过补充特定益生菌改变了特定的生理指标。
这种改变被演绎成「提高免疫力」。事实上，「提高免疫力」本身，就只是一个营销概念，并没有明确的科学内涵。用益生菌提高免疫力，无异于「大海捞针」，效果虚无缥缈。",115,丁香医生团队辟谣：益生菌是否能提高免疫力都有待商榷，更别说预防新冠肺炎了,0,109,,,益生菌能提高免疫力预防新冠肺炎？
建议将外穿的鞋子放置于门外。或用鞋盒、鞋套将鞋子「隔离」，放在玄关，减小室内被污染的风险。如果小区有人感染新型冠状病毒，如何保护自己和家人？有哪些值得注意的地方？去丁香医生公众号回复「小区」即可查看。,108,丁香医生团队：确实需要注意，建议将外穿的鞋子放置于门外,1,108,,,鞋要与居室隔离，不要放在家里？
《新型冠状病毒感染的肺炎诊疗方案（试行第五版）》指出「经呼吸道飞沫和接触传播是主要的传播途径。气溶胶和消化道等传播途径尚待明确」并没有提到虫媒传播（蚊虫叮咬传播）。,110,丁香医生团队辟谣：目前没有证据,0,107,,,新冠病毒可以通过蚊虫叮咬传播？
"如果在空气中乱喷，容易因为局部过浓而爆燃。
喷洒酒精之后，会有一部分酒精发生气化，浓度虽有所降低，但是与氧气的接触却更充分了，所以空气中只要有 3.5% 左右的酒精，遇到明火、静电火花乃至一些高温物体，就足以发生爆炸。
因此，在喷洒酒精时，务必注意用量，不要过度喷洒导致空气中挥发的酒精太多，更不能直接对着空气喷洒，也不要对着人喷洒。",113,清华大学化学系孙亚飞博士：确实要注意,1,106,,,别往空气中喷撒酒精，会爆炸？
近日，有网络传言和视频称，天津一男子在自己衣服上喷了含酒精的消毒水，然后开车时抽烟引发燃爆，不小心把自己烧死了。据平安天津微博发布：实为男子杀人未遂后引燃汽油。不过也要提醒大家，使用酒精等消毒剂进行消毒的时候一定要注意安全。,112,平安天津辟谣：实为男子杀人未遂后引燃汽油,0,105,,,有人在身上喷消毒水烧着了？
李兰娟院士表示：不在医院，只是日常外出，不用专门戴手套。关键是要勤洗手，养成洗手、在外面不用手抠鼻子、揉眼睛的好习惯。,111,李兰娟院士辟谣：日常不用戴手套,0,104,,,比口罩更重要的是手套？
"国家医疗专家组成员李兴旺在 2 月 5 日下午的发布会上表示：「无症状感染者的病毒载量可能比较少，其传播力也会较弱。」
而世界卫生组织表示：「根据对 MERS 的观察，其他冠状病毒通过无症状者传播的情况非常罕见。」如何知道自己或身边的人是不是无症状感染者？去丁香医生公众号回复「无症状」即可查看。",120,丁香医生团队：可能会，但无症状感染者的传播力较弱,2,102,,,无症状患者也会传播新冠病毒？
含氯消毒剂不能和洁厕灵同时使用，容易产生有毒气体；也不推荐和酒精同时使用，消毒效果可能减弱甚至可能产生有毒气体；储存应在低温、阴凉处和儿童触摸不到的地方；如有必要，要先使用洁厕灵，然后在使用含氯消毒剂消毒之前应对其彻底冲洗。,107,丁香医生团队：确实，含氯消毒剂不能和洁厕灵同时使用，容易产生有毒气体,1,101,,,84 消毒液不能和洁厕灵一起用？
沪医疗救治专家组组长、华山医院教授张文宏主编的《张文宏教授支招防控新型冠状病毒》中提到：中央空调有传播疾病的可能。疫情期间停止或减少使用中央空调，必须开空调时，要同时开排风扇。要定期清洗空调，每天定时开启门窗，进行通风换气。,109,张文宏教授：中央空调有传播疾病的可能,1,100,,,中央空调会传染病毒？
"浙江大学医学院附属第一院传染病科主任医师肖永红接受人民网采访中表示：

「对于下水道密闭性不是特别严格的小区而言，有些问题是需要注意的。比如，发现下水道有反水、漏水的情况，应当加强马桶或便器的密封性。对于一些使用旱厕的农村地区，则需要定期对厕所进行消毒。」",105,丁香医生团队：不能排除有这一可能,2,99,,,新冠病毒会通过下水道传播？
"印度学者认为，新冠病毒被插入了 HIV 病毒的几个片段，并暗示这是人造的。然而，仔细研究发现，他研究的这几个片段，在其他大量病毒里存在。那为何单单把 HIV 挑出来说事儿呢？因此存在蓄意误导的可能性。

根据最新的消息：该文章的第一作者，在全球学者的批评和评论压力下，终于意识到了自己分析的问题和技术错误。他在评注中说这个文章是粗浅的研究，决定要撤回现稿。",102,丁香医生团队辟谣：不实言论，存在蓄意误导的可能性,0,98,,,印度学者：新冠病毒是人造的？
钟南山院士表示：「病毒有可能通过粪口传播。现在这个问题应该非常重视，因为在粪便里发现病毒，粪便是否传染病毒值得高度警惕。在湖北、江西有些地方，确实有使用便桶习惯，还放在鱼塘里洗，确实要引起防控注意。从调查来看，已经患病的人，在粪便带病毒有多少，要一步一步来调查。从了解来看，尿初步没有，但大便确实要引起注意。」,104,钟南山院士回应：是有可能的，粪便是否传染病毒值得高度警惕,2,96,,,新冠病毒会通过粪口传播？
我没说，不是我，别瞎说。网传的「童子尿可预防新冠病毒」丁香医生认证图片实为 PS 所造。,95,丁香医生团队辟谣：PS 技术挺好，差点自己都信了呢,0,95,,,丁香医生说童子尿可预防新冠病毒？
WHO 证实：到目前为止，还没有专门用于预防和治疗新冠病毒的药物。感染者应该接受用于缓解和针对症状的治疗，而病情严重的患者应该得到针对其所有病症的最佳的支持性治疗。特定的治疗方法正在研究中，并将通过临床试验进行测试。,96,WHO 证实：到目前为止，还没有专门用于预防和治疗新冠病毒的药物,1,94,,,目前还没有可防治新冠病毒的药物？
目前关于金银花研究较多来自体外环境细胞实验的研究，即使在动物实验中表现出一定的抗病毒效果，也不能推及在人体内的效果。同时，已有研究显示抗病毒活性成分的剂量关系及生物利用度还并不理想，目前还没有足够有力的临床试验数据证明金银花的抗病毒效果。最重要的，实验用的剂量和提取方式，和日常饮食摄入的还是有很大差距，大剂量使用可能带来不良反应，切勿自行以预防为目的的服用。,100,丁香医生团队：目前仅有动物实验，实验用的剂量和提取方式，和日常饮食摄入的还是有很大差距。,2,93,,,金银花有望防控新冠病毒感染？
2013 和 2014 年的国家药品不良反应监测年度报告显示，双黄连合剂（口服液、颗粒、胶囊、片）在中成药口服制剂中不良反应中分列第二名和第一名。而关于它在人体中「可抑制新型冠状病毒」的效果，目前的公开数据不足以得到证明。,94,丁香医生团队辟谣：现有临床研究数据不足，不建议用双黄连预防新冠病毒,0,92,,,双黄连可以预防新冠病毒？
